UniqueSuburb,Average_Price/m^2
Abbotsford,12998
Airport West,5654
Albert Park,15720
Alphington,9283
Altona,14980
Altona North,5611
Armadale,20638
Ascot Vale,7666
Ashburton,9608
Ashwood,43376
Avondale Heights,6255
Balaclava,9045
Balwyn,72026
Balwyn North,14748
Bentleigh,7600
Bentleigh East,7389
Box Hill,18423
Braybrook,5883
Brighton,17176
Brighton East,13643
Brunswick,21833
Brunswick West,7560
Bulleen,6232
Burwood,8029
Camberwell,19421
Canterbury,10931
Carlton North,13040
Carnegie,13131
Caulfield,6091
Caulfield North,8178
Caulfield South,9065
Chadstone,7401
Clifton Hill,10845
Coburg,16228
Coburg North,7159
Collingwood,29094
Doncaster,7486
Eaglemont,7980
Elsternwick,15095
Elwood,9996
Essendon,10314
Essendon North,6958
Fairfield,23934
Fitzroy,10588
Fitzroy North,10824
Flemington,10351
Footscray,12621
Glen Iris,21920
Glenroy,11440
Gowanbrae,13731
Hadfield,10046
Hampton,9077
Hampton East,34341
Hawthorn,17402
Heidelberg Heights,6634
Heidelberg West,8944
Hughesdale,8520
Ivanhoe,8160
Kealba,3617
Keilor East,5953
Kensington,8210
Kew,13053
Kew East,17403
Maidstone,6752
Malvern,12076
Malvern East,9694
Maribyrnong,10259
Melbourne,7703
Middle Park,16214
Mont Albert,12842
Moonee Ponds,7757
Moorabbin,14112
Newport,8552
Niddrie,6136
North Melbourne,41767
Northcote,10690
Oak Park,5801
Oakleigh South,7218
Parkville,13552
Pascoe Vale,5979
Port Melbourne,10632
Prahran,10394
Preston,13569
Reservoir,13108
Richmond,15626
Rosanna,6293
Seddon,8072
South Melbourne,26010
South Yarra,12803
Southbank,7351
Spotswood,7131
St Kilda,14522
Strathmore,8199
Sunshine,6081
Sunshine North,4954
Sunshine West,4826
Surrey Hills,10040
Templestowe Lower,7284
Thornbury,14787
Toorak,13153
Viewbank,7504
Watsonia,6066
West Melbourne,7363
Williamstown,8507
Williamstown North,6686
Windsor,10083
Yallambie,5139
Yarraville,11376
Aberfeldie,10322
Brunswick East,9217
Burnley,12121
Carlton,10609
East Melbourne,13446
Essendon West,5916
Fawkner,5720
Hawthorn East,10233
Heidelberg,15846
Ivanhoe East,8591
Jacana,5145
Kingsbury,8647
Kingsville,19237
Murrumbeena,8410
Ormond,8300
West Footscray,16347
Albion,5426
Brooklyn,5345
Glen Huntly,41887
Oakleigh,7257
Ripponlea,7565
Cremorne,9907
Docklands,6250
South Kingsville,5717
Strathmore Heights,5371
Travancore,6960
Caulfield East,8399
Seaholme,7581
Keilor Park,4562
Gardenvale,7178
Princes Hill,11012
Bayswater,6000
Briar Hill,5484
Broadmeadows,4916
Burnside Heights,2684
Burwood East,7350
Cairnlea,3716
Cheltenham,7511
Craigieburn,3974
Croydon,4884
Dandenong North,4874
Diamond Creek,5851
Doncaster East,7086
Donvale,6180
Doreen,3085
Eltham,5513
Epping,4083
Frankston North,5117
Frankston South,5501
Gisborne,4029
Greensborough,7307
Healesville,4151
Highett,7309
Huntingdale,7427
Keilor Downs,4001
Keysborough,4862
Kings Park,4217
Lalor,4815
Melton,4939
Mernda,3221
Mill Park,4595
Mitcham,6452
Montmorency,5834
Mount Waverley,21038
Nunawading,10222
Parkdale,8029
Point Cook,3052
Rowville,4251
Sandringham,9152
Seaford,4566
South Morang,3335
Springvale,6797
St Albans,4590
Sunbury,3519
Tarneit,3248
Taylors Hill,2975
Werribee,3731
Williams Landing,11676
Wollert,2778
Wyndham Vale,3241
Beaumaris,9550
Blackburn,8503
Bonbeach,7775
Boronia,90054
Caroline Springs,2998
Carrum,5387
Chelsea,6567
Clayton,8887
Dandenong,4405
Dingley Village,5209
Doveton,5286
Forest Hill,6220
Frankston,5220
Glen Waverley,11170
Greenvale,3390
Heathmont,5867
Hoppers Crossing,3854
Melton South,3172
Melton West,3023
Mentone,9532
Mooroolbark,5956
Mordialloc,6382
Oakleigh East,8454
Ringwood East,8316
Roxburgh Park,3403
Seabrook,5255
Templestowe,8793
Thomastown,5146
Vermont,7111
Watsonia North,5572
Westmeadows,4118
Wheelers Hill,5821
Bayswater North,5023
Berwick,3706
Black Rock,8766
Blackburn North,6639
Bundoora,5219
Carrum Downs,3753
Clayton South,7449
Croydon North,4763
Ferntree Gully,4916
Gladstone Park,4682
Hallam,3580
Mulgrave,29670
Notting Hill,7185
Ringwood North,6262
Skye,3656
Sydenham,3799
Taylors Lakes,3332
Vermont South,5972
Beaconsfield Upper,4193
Blackburn South,8455
Chelsea Heights,4960
Eltham North,5193
Meadow Heights,4233
Mount Evelyn,4990
Noble Park,5500
North Warrandyte,5482
Riddells Creek,2999
Sandhurst,3449
Wantirna South,5632
Chirnside Park,4108
Croydon Hills,5049
Derrimut,2905
Edithvale,6221
Keilor,5012
Knoxfield,4335
Lower Plenty,5417
St Helena,4864
Truganina,3096
Tullamarine,5025
Deer Park,4662
Hampton Park,4339
Montrose,4594
Ringwood,7147
The Basin,4676
Altona Meadows,4502
Clarinda,4635
Deepdene,9767
Delahey,4297
Diggers Rest,2421
Hurstbridge,3511
Kurunjang,2577
McKinnon,12500
Scoresby,6466
Wonga Park,5085
Aspendale,6593
Endeavour Hills,4880
Narre Warren,4777
Pakenham,1466
Warrandyte,6119
Beaconsfield,2746
Langwarrin,4019
Springvale South,6667
Yarra Glen,3434
Albanvale,4311
Ardeer,6332
Brookfield,2413
Cranbourne North,3356
Emerald,8008
Whittlesea,4034
Coolaroo,4148
Dallas,4658
Wantirna,5005
Waterways,5049
Wallan,4753
Campbellfield,3714
Kilsyth,5138
New Gisborne,30
Plumpton,3514
Burnside,3333
Cranbourne,3529
Kooyong,9086
